,cc_b3m1
351,-0.7849213161951631
352,-0.882136714297479
353,-0.8931773387029178
354,-0.9412576168026945
355,-1.3293252847228558
356,-0.9052917996832441
357,-1.0498018626133891
358,-1.1229602723832848
359,-0.9723711377141591
360,-0.9898594228304383
361,-1.1314982236639146
362,-1.035498588256356
363,-0.8563849109371819
364,-0.9264234414402637
365,-1.0490926637593567
366,-0.7624758523592803
367,-1.2513560205349812
368,-0.7100203374265437
369,-1.0436687196905332
370,-0.8714107500969099
371,-1.0005347306498145
372,-0.6559630067049333
373,-1.0242671901685885
374,-0.9808104123509107
375,-0.6033388268330295
376,-0.5914158293503586
377,-0.7416465581710145
378,-0.39056162261627314
379,-0.7682298266995939
380,-0.7135358355337988
381,-0.651864207529
382,-0.9544575271575901
383,-0.7712371705056
384,-0.8426331166222134
385,-0.7977051281415708
386,-0.9125787067320701
387,-0.6794846566057657
388,-0.9507651042296601
389,-0.6767957736262389
390,-0.8004756857033719
391,-0.7798955609169465
392,-0.8158310587962259
393,-0.5100764297156637
394,-1.0824669832930311
395,-0.823870709942053
396,-0.8045116870541325
397,-0.9753789624061131
398,-0.6636199089597916
399,-0.6170099349636171
400,-0.9778635980838182
401,-0.41097370662062893
402,-0.6420936326058282
403,-0.6525335738966085
404,-0.8735554718354628
405,-0.5151910825516541
406,-1.072259714872736
407,-1.152857658944658
408,-0.9262627472956169
409,-1.1316913656554028
410,-0.8403531190847389
411,-0.5282149121626905
412,-0.9492436407514155
413,-1.226696687720203
414,-0.9085884988990927
415,-0.997531651924092
416,-0.857242791783861
417,-0.7697634574944239
418,-0.8370903041676261
419,-0.7908804279373225
420,-0.943526265074567
421,-0.6672829236686812
422,-0.6937569340116525
423,-0.7054370230624887
424,-1.0077902234696499
425,-0.7529671350931189
426,-0.8882171321444403
427,-0.8063777099287659
428,-0.9054731473720086
429,-1.107481529697317
430,-1.098946498548674
431,-0.6100222346822974
432,-0.9087204979853105
433,-1.2386380662552963
434,-0.9452503218284356
435,-0.7901229359084265
436,-0.9565844673749382
437,-0.497867421331291
438,-0.8160840557386457
439,-1.1530625869012923
440,-0.9907788425546826
441,-0.9282716860111808
442,-0.942652747827621
443,-0.9333721278488358
444,-0.7588275132207514
445,-1.2610800498514934
446,-1.1382264013944958
447,-0.9061193225853561
448,-0.8871691329201461
449,-0.5418873698557434
450,-0.806424580708482
451,-0.8796073339306023
452,-0.6524594156085577
453,-0.7045781973175522
454,-0.5203343100408482
455,-0.6366537688294116
456,-0.36868541295244306
457,-0.8291122608502963
